id_mahasiswa;program_studi;usia_mendaftar;uang_kuliah;mk_lulus_th1;skor_kartu;peringkat;profil
MHS0554;Teknik Informatika;27;Uang kuliah tertunggak;0;416;E;Terhalang biaya
MHS0391;Perawat Hewan;25;Uang kuliah tertunggak;0;428;E;Terhalang biaya
MHS0157;Teknik Informatika;18;Uang kuliah tertunggak;0;435;E;Terhalang biaya
MHS0030;Manajemen;22;Uang kuliah tertunggak;0;436;E;Terhalang biaya
MHS0436;Animasi dan Desain Multimedia;18;Uang kuliah tertunggak;0;459;E;Menghilang dari kelas
MHS0171;Teknik Informatika;18;Uang kuliah tertunggak;6;468;E;Terhalang biaya
MHS0268;Peternakan Kuda;20;Uang kuliah tertunggak;5;473;E;Terhalang biaya
MHS0300;Perawat Hewan;24;Uang kuliah tertunggak;6;482;E;Terhalang biaya
MHS0415;Teknik Informatika;24;Uang kuliah lancar;2;484;E;Berjuang secara akademik
MHS0648;Manajemen;19;Uang kuliah tertunggak;9;489;E;Terhalang biaya
MHS0033;Agronomi;47;Uang kuliah lancar;0;497;E;Menghilang dari kelas
MHS0037;Kerja Sosial;21;Uang kuliah tertunggak;12;501;E;Terhalang biaya
MHS0163;Perawat Hewan;28;Uang kuliah lancar;0;505;E;Berjuang secara akademik
MHS0333;Teknik Informatika;34;Uang kuliah lancar;1;508;E;Berjuang secara akademik
MHS0482;Agronomi;26;Uang kuliah lancar;0;513;E;Menghilang dari kelas
MHS0485;Teknik Informatika;20;Uang kuliah lancar;0;515;E;Menghilang dari kelas
MHS0324;Perawat Hewan;19;Uang kuliah tertunggak;8;517;E;Terhalang biaya
MHS0746;Pariwisata;18;Uang kuliah tertunggak;10;519;E;Terhalang biaya
MHS0510;Manajemen kelas malam;29;Uang kuliah lancar;0;520;E;Menghilang dari kelas
MHS0264;Jurnalistik dan Komunikasi;18;Uang kuliah tertunggak;10;520;E;Terhalang biaya
MHS0353;Manajemen kelas malam;34;Uang kuliah lancar;0;520;E;Menghilang dari kelas
MHS0742;Perawat Hewan;44;Uang kuliah tertunggak;6;521;E;Berjuang secara akademik
MHS0600;Manajemen Iklan dan Pemasaran;20;Uang kuliah tertunggak;9;521;E;Terhalang biaya
MHS0487;Manajemen Iklan dan Pemasaran;21;Uang kuliah tertunggak;8;521;E;Terhalang biaya
MHS0372;Peternakan Kuda;18;Uang kuliah tertunggak;10;522;E;Terhalang biaya
MHS0270;Higiene Gigi;19;Uang kuliah lancar;2;523;E;Berjuang secara akademik
MHS0416;Teknik Informatika;22;Uang kuliah lancar;2;524;E;Berjuang secara akademik
MHS0020;Teknik Informatika;18;Uang kuliah lancar;2;524;E;Berjuang secara akademik
MHS0093;Teknik Informatika;24;Uang kuliah lancar;4;525;E;Berjuang secara akademik
MHS0631;Agronomi;27;Uang kuliah lancar;0;525;E;Menghilang dari kelas
MHS0207;Teknik Informatika;25;Uang kuliah lancar;2;525;E;Berjuang secara akademik
MHS0059;Agronomi;30;Uang kuliah lancar;0;526;E;Menghilang dari kelas
MHS0135;Manajemen;40;Uang kuliah lancar;2;526;E;Berjuang secara akademik
MHS0265;Manajemen;18;Uang kuliah lancar;0;528;E;Menghilang dari kelas
MHS0089;Desain Komunikasi Visual;18;Uang kuliah tertunggak;9;531;E;Terhalang biaya
MHS0145;Peternakan Kuda;23;Uang kuliah tertunggak;10;532;E;Terhalang biaya
MHS0709;Manajemen;19;Uang kuliah lancar;3;533;E;Berjuang secara akademik
MHS0308;Teknik Informatika;20;Uang kuliah lancar;2;533;E;Berjuang secara akademik
MHS0154;Manajemen;22;Uang kuliah tertunggak;8;534;E;Terhalang biaya
MHS0744;Animasi dan Desain Multimedia;19;Uang kuliah lancar;0;534;E;Menghilang dari kelas
MHS0411;Teknik Informatika;19;Uang kuliah lancar;1;534;E;Berjuang secara akademik
MHS0655;Animasi dan Desain Multimedia;19;Uang kuliah lancar;0;534;E;Menghilang dari kelas
MHS0168;Kerja Sosial;31;Uang kuliah lancar;0;535;E;Berjuang secara akademik
MHS0707;Manajemen;23;Uang kuliah lancar;1;535;E;Menghilang dari kelas
MHS0654;Animasi dan Desain Multimedia;22;Uang kuliah lancar;0;536;E;Menghilang dari kelas
MHS0443;Animasi dan Desain Multimedia;22;Uang kuliah lancar;0;536;E;Menghilang dari kelas
MHS0161;Manajemen kelas malam;37;Uang kuliah lancar;5;538;E;Berjuang secara akademik
MHS0596;Teknik Informatika;34;Uang kuliah lancar;3;538;E;Berjuang secara akademik
MHS0208;Manajemen Iklan dan Pemasaran;21;Uang kuliah lancar;2;539;E;Berjuang secara akademik
MHS0498;Agronomi;23;Uang kuliah lancar;0;539;E;Menghilang dari kelas
MHS0662;Pendidikan Dasar;33;Uang kuliah tertunggak;13;540;E;Terhalang biaya
MHS0421;Animasi dan Desain Multimedia;22;Uang kuliah lancar;0;542;E;Menghilang dari kelas
MHS0015;Desain Komunikasi Visual;24;Uang kuliah lancar;0;542;E;Menghilang dari kelas
MHS0454;Teknik Informatika;18;Uang kuliah lancar;6;543;E;Berjuang secara akademik
MHS0170;Teknik Informatika;24;Uang kuliah lancar;5;543;E;Berjuang secara akademik
MHS0575;Teknik Informatika;28;Uang kuliah lancar;8;543;E;Berjuang secara akademik
MHS0312;Manajemen;32;Uang kuliah lancar;6;544;E;Berjuang secara akademik
MHS0647;Teknik Informatika;18;Uang kuliah lancar;0;545;E;Menghilang dari kelas
MHS0225;Manajemen;19;Uang kuliah tertunggak;9;545;E;Terhalang biaya
MHS0776;Teknik Informatika;18;Uang kuliah lancar;1;545;E;Berjuang secara akademik
MHS0127;Perawat Hewan;20;Uang kuliah tertunggak;8;547;E;Terhalang biaya
MHS0613;Manajemen kelas malam;32;Uang kuliah lancar;9;547;E;Berjuang secara akademik
MHS0716;Higiene Gigi;20;Uang kuliah lancar;2;547;E;Berjuang secara akademik
MHS0102;Pariwisata;23;Uang kuliah lancar;6;549;E;Berjuang secara akademik
MHS0134;Animasi dan Desain Multimedia;20;Uang kuliah lancar;0;549;E;Menghilang dari kelas
MHS0183;Animasi dan Desain Multimedia;18;Uang kuliah lancar;0;549;E;Menghilang dari kelas
MHS0008;Manajemen;18;Uang kuliah tertunggak;5;549;E;Terhalang biaya
MHS0433;Perawat Hewan;21;Uang kuliah lancar;3;549;E;Berjuang secara akademik
MHS0767;Animasi dan Desain Multimedia;21;Uang kuliah lancar;0;550;D;Menghilang dari kelas
MHS0519;Agronomi;34;Uang kuliah tertunggak;12;550;D;Terhalang biaya
MHS0758;Animasi dan Desain Multimedia;20;Uang kuliah lancar;0;551;D;Menghilang dari kelas
MHS0242;Teknik Informatika;19;Uang kuliah lancar;4;551;D;Berjuang secara akademik
MHS0479;Teknik Informatika;18;Uang kuliah lancar;9;552;D;Berjuang secara akademik
MHS0494;Perawat Hewan;26;Uang kuliah tertunggak;11;552;D;Terhalang biaya
MHS0585;Manajemen kelas malam;30;Uang kuliah lancar;8;553;D;Berjuang secara akademik
MHS0514;Jurnalistik dan Komunikasi;18;Uang kuliah lancar;3;553;D;Berjuang secara akademik
MHS0535;Manajemen kelas malam;34;Uang kuliah lancar;8;553;D;Berjuang secara akademik
MHS0641;Manajemen kelas malam;38;Uang kuliah lancar;5;553;D;Berjuang secara akademik
MHS0523;Manajemen kelas malam;50;Uang kuliah lancar;5;553;D;Berjuang secara akademik
MHS0173;Manajemen kelas malam;34;Uang kuliah lancar;8;553;D;Berjuang secara akademik
MHS0357;Manajemen kelas malam;34;Uang kuliah lancar;6;553;D;Berjuang secara akademik
MHS0392;Manajemen kelas malam;37;Uang kuliah lancar;7;553;D;Berjuang secara akademik
MHS0753;Manajemen kelas malam;20;Uang kuliah lancar;0;553;D;Berjuang secara akademik
MHS0017;Manajemen;18;Uang kuliah lancar;0;554;D;Menghilang dari kelas
MHS0490;Higiene Gigi;26;Uang kuliah lancar;0;554;D;Menghilang dari kelas
MHS0355;Kerja Sosial kelas malam;25;Uang kuliah lancar;10;554;D;Berjuang secara akademik
MHS0488;Manajemen Iklan dan Pemasaran;19;Uang kuliah lancar;0;554;D;Berjuang secara akademik
MHS0598;Jurnalistik dan Komunikasi;21;Uang kuliah lancar;1;555;D;Berjuang secara akademik
MHS0187;Manajemen kelas malam;25;Uang kuliah lancar;6;555;D;Berjuang secara akademik
MHS0369;Animasi dan Desain Multimedia;18;Uang kuliah lancar;0;555;D;Menghilang dari kelas
MHS0374;Animasi dan Desain Multimedia;18;Uang kuliah lancar;0;555;D;Menghilang dari kelas
MHS0114;Manajemen kelas malam;27;Uang kuliah lancar;7;555;D;Berjuang secara akademik
MHS0461;Manajemen kelas malam;26;Uang kuliah lancar;8;555;D;Berjuang secara akademik
MHS0502;Manajemen kelas malam;25;Uang kuliah lancar;6;555;D;Berjuang secara akademik
MHS0640;Perawat Hewan;19;Uang kuliah tertunggak;10;555;D;Terhalang biaya
MHS0761;Manajemen kelas malam;25;Uang kuliah lancar;8;556;D;Berjuang secara akademik
MHS0589;Manajemen kelas malam;25;Uang kuliah lancar;8;556;D;Berjuang secara akademik
MHS0583;Manajemen;39;Uang kuliah lancar;8;557;D;Berjuang secara akademik
MHS0144;Manajemen;20;Uang kuliah lancar;5;557;D;Berjuang secara akademik
MHS0295;Animasi dan Desain Multimedia;20;Uang kuliah lancar;0;558;D;Menghilang dari kelas
MHS0460;Manajemen;41;Uang kuliah lancar;10;558;D;Berjuang secara akademik
MHS0399;Perawat Hewan;21;Uang kuliah tertunggak;9;558;D;Terhalang biaya
MHS0290;Animasi dan Desain Multimedia;20;Uang kuliah lancar;0;558;D;Menghilang dari kelas
MHS0079;Peternakan Kuda;18;Uang kuliah lancar;4;558;D;Berjuang secara akademik
MHS0708;Agronomi;24;Uang kuliah lancar;9;558;D;Berjuang secara akademik
MHS0314;Manajemen;24;Uang kuliah lancar;6;559;D;Berjuang secara akademik
MHS0668;Manajemen;26;Uang kuliah lancar;10;559;D;Berjuang secara akademik
MHS0649;Manajemen;19;Uang kuliah lancar;0;559;D;Menghilang dari kelas
MHS0465;Pendidikan Dasar;22;Uang kuliah tertunggak;12;559;D;Terhalang biaya
MHS0630;Kerja Sosial;28;Uang kuliah lancar;8;560;D;Berjuang secara akademik
MHS0358;Animasi dan Desain Multimedia;17;Uang kuliah lancar;0;562;D;Menghilang dari kelas
MHS0336;Animasi dan Desain Multimedia;18;Uang kuliah lancar;0;562;D;Menghilang dari kelas
MHS0777;Manajemen;21;Uang kuliah lancar;7;562;D;Berjuang secara akademik
MHS0031;Animasi dan Desain Multimedia;18;Uang kuliah lancar;0;562;D;Menghilang dari kelas
MHS0233;Animasi dan Desain Multimedia;18;Uang kuliah lancar;0;562;D;Menghilang dari kelas
MHS0456;Animasi dan Desain Multimedia;18;Uang kuliah lancar;0;562;D;Menghilang dari kelas
MHS0434;Kerja Sosial kelas malam;39;Uang kuliah lancar;8;562;D;Berjuang secara akademik
MHS0193;Animasi dan Desain Multimedia;18;Uang kuliah lancar;0;562;D;Menghilang dari kelas
MHS0580;Animasi dan Desain Multimedia;18;Uang kuliah lancar;0;562;D;Menghilang dari kelas
MHS0260;Animasi dan Desain Multimedia;18;Uang kuliah lancar;0;562;D;Menghilang dari kelas
MHS0292;Manajemen kelas malam;25;Uang kuliah lancar;8;562;D;Berjuang secara akademik
MHS0012;Animasi dan Desain Multimedia;18;Uang kuliah lancar;0;562;D;Menghilang dari kelas
MHS0393;Teknik Informatika;19;Uang kuliah lancar;7;563;D;Berjuang secara akademik
MHS0700;Manajemen;33;Uang kuliah lancar;10;563;D;Berjuang secara akademik
MHS0262;Teknik Informatika;30;Uang kuliah lancar;7;563;D;Berjuang secara akademik
MHS0699;Desain Komunikasi Visual;22;Uang kuliah lancar;1;563;D;Menghilang dari kelas
MHS0459;Kerja Sosial kelas malam;26;Uang kuliah lancar;8;564;D;Berjuang secara akademik
MHS0635;Manajemen Iklan dan Pemasaran;21;Uang kuliah lancar;5;564;D;Berjuang secara akademik
MHS0322;Teknik Informatika;18;Uang kuliah tertunggak;9;564;D;Berjuang secara akademik
MHS0034;Perawat Hewan;28;Uang kuliah lancar;8;564;D;Berjuang secara akademik
MHS0301;Keperawatan;33;Uang kuliah lancar;2;565;D;Berjuang secara akademik
MHS0674;Agronomi;19;Uang kuliah lancar;1;565;D;Berjuang secara akademik
MHS0783;Manajemen kelas malam;30;Uang kuliah lancar;7;565;D;Berjuang secara akademik
MHS0634;Jurnalistik dan Komunikasi;23;Uang kuliah lancar;5;565;D;Berjuang secara akademik
MHS0258;Manajemen kelas malam;47;Uang kuliah lancar;8;565;D;Berjuang secara akademik
MHS0538;Keperawatan;18;Uang kuliah lancar;0;566;D;Menghilang dari kelas
MHS0493;Peternakan Kuda;21;Uang kuliah lancar;3;566;D;Berjuang secara akademik
MHS0227;Perawat Hewan;23;Uang kuliah tertunggak;19;567;D;Terhalang biaya
MHS0349;Pendidikan Dasar;18;Uang kuliah lancar;7;567;D;Berjuang secara akademik
MHS0326;Manajemen;19;Uang kuliah lancar;1;567;D;Berjuang secara akademik
MHS0383;Manajemen;22;Uang kuliah lancar;3;567;D;Berjuang secara akademik
MHS0403;Teknik Informatika;19;Uang kuliah lancar;6;567;D;Berjuang secara akademik
MHS0752;Pendidikan Dasar;18;Uang kuliah lancar;7;567;D;Berjuang secara akademik
MHS0425;Teknik Informatika;20;Uang kuliah lancar;4;567;D;Berjuang secara akademik
MHS0276;Teknik Informatika;21;Uang kuliah lancar;8;567;D;Berjuang secara akademik
MHS0060;Manajemen;20;Uang kuliah lancar;7;568;D;Berjuang secara akademik
MHS0787;Kerja Sosial;20;Uang kuliah lancar;0;568;D;Berjuang secara akademik
MHS0027;Manajemen;20;Uang kuliah lancar;6;568;D;Berjuang secara akademik
MHS0319;Manajemen;25;Uang kuliah lancar;7;568;D;Berjuang secara akademik
MHS0601;Teknik Informatika;19;Uang kuliah lancar;3;568;D;Berjuang secara akademik
MHS0039;Keperawatan;35;Uang kuliah lancar;6;569;D;Berjuang secara akademik
