id_mahasiswa;Marital_status;Application_mode;Application_order;Course;Daytime_evening_attendance;Previous_qualification;Previous_qualification_grade;Nacionality;Mothers_qualification;Fathers_qualification;Mothers_occupation;Fathers_occupation;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;Age_at_enrollment;International;Curricular_units_1st_sem_credited;Curricular_units_1st_sem_enrolled;Curricular_units_1st_sem_evaluations;Curricular_units_1st_sem_approved;Curricular_units_1st_sem_grade;Curricular_units_1st_sem_without_evaluations;Curricular_units_2nd_sem_credited;Curricular_units_2nd_sem_enrolled;Curricular_units_2nd_sem_evaluations;Curricular_units_2nd_sem_approved;Curricular_units_2nd_sem_grade;Curricular_units_2nd_sem_without_evaluations;Unemployment_rate;Inflation_rate;GDP;Status;skor_kartu;peringkat;asal_data;profil
MHS0001;1;17;5;171;1;1;122.0;1;19;12;5;9;127.3;1;0;0;1;1;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Dropout;551;D;data latih;Menghilang dari kelas
MHS0002;1;15;1;9254;1;1;160.0;1;1;3;3;3;142.5;1;0;0;0;1;0;19;0;0;6;6;6;14.0;0;0;6;6;6;13.666666666666666;0;13.9;-0.3;0.79;Graduate;605;C;data latih;Tidak dipanggil
MHS0003;1;1;5;9070;1;1;122.0;1;37;37;9;9;124.8;1;0;0;0;1;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;10.8;1.4;1.74;Dropout;489;E;data latih;Menghilang dari kelas
MHS0004;1;17;2;9773;1;1;122.0;1;38;37;5;3;119.6;1;0;0;1;0;0;20;0;0;6;8;6;13.428571428571429;0;0;6;10;5;12.4;0;9.4;-0.8;-3.12;Graduate;641;C;data latih;Tidak dipanggil
MHS0005;2;39;1;8014;0;1;100.0;1;37;38;9;9;141.5;0;0;0;1;0;0;45;0;0;6;9;5;12.333333333333334;0;0;6;6;6;13.0;0;13.9;-0.3;0.79;Graduate;638;C;data latih;Tidak dipanggil
MHS0006;2;39;1;9991;0;19;133.1;1;37;37;9;7;114.8;0;0;1;1;1;0;50;0;0;5;10;5;11.857142857142858;0;0;5;17;5;11.5;5;16.2;0.3;-0.92;Graduate;527;E;data latih;Berjuang secara akademik
MHS0007;1;1;1;9500;1;1;142.0;1;19;38;7;10;128.4;1;0;0;1;0;1;18;0;0;7;9;7;13.3;0;0;8;8;8;14.345;0;15.5;2.8;-4.06;Graduate;733;A;data latih;Tidak dipanggil
MHS0008;1;18;4;9254;1;1;119.0;1;37;37;9;9;113.1;1;0;0;0;1;0;22;0;0;5;5;0;0.0;0;0;5;5;0;0.0;0;15.5;2.8;-4.06;Dropout;464;E;data latih;Terhalang biaya
MHS0009;1;1;3;9238;1;1;137.0;62;1;1;9;9;129.3;0;0;0;1;0;1;21;1;0;6;8;6;13.875;0;0;6;7;6;14.142857142857142;0;16.2;0.3;-0.92;Graduate;732;A;data uji;Tidak dipanggil
MHS0010;1;1;1;9238;1;1;138.0;1;1;19;4;7;123.0;1;0;1;0;0;0;18;0;0;6;9;5;11.4;0;0;6;14;2;13.5;0;8.9;1.4;3.51;Dropout;534;E;data uji;Terhalang biaya
MHS0011;1;1;1;9670;1;1;139.0;1;38;19;5;7;130.6;1;0;0;1;0;0;18;0;0;6;6;6;12.333333333333334;0;0;6;7;5;14.2;0;13.9;-0.3;0.79;Graduate;656;C;data latih;Tidak dipanggil
MHS0012;1;1;1;9500;1;1;136.0;1;19;38;9;9;119.3;1;0;0;1;0;1;18;0;0;8;8;7;13.214285714285714;0;0;8;8;7;13.214285714285714;0;12.7;3.7;-1.7;Graduate;728;A;data latih;Tidak dipanggil
MHS0013;1;1;2;9853;1;1;133.0;1;19;37;4;9;130.2;1;0;0;1;0;0;19;0;0;6;6;0;0.0;0;0;6;0;0;0.0;0;12.7;3.7;-1.7;Dropout;555;D;data uji;Menghilang dari kelas
MHS0014;1;53;1;9254;1;42;110.0;1;1;1;4;7;111.8;1;0;0;1;0;1;21;0;0;6;7;6;10.571428571428571;0;0;6;8;5;11.0;0;8.9;1.4;3.51;Graduate;628;C;data latih;Tidak dipanggil
MHS0015;1;1;1;9085;1;1;149.0;1;38;37;5;5;137.1;1;0;0;1;0;1;18;0;0;5;7;4;13.25;0;0;5;5;5;12.0;0;10.8;1.4;1.74;Graduate;665;B;data latih;Tidak dipanggil
MHS0016;1;1;1;9773;1;1;127.0;1;19;37;9;3;120.7;1;0;0;1;0;0;20;0;0;6;6;5;13.2;0;0;6;7;0;0.0;0;15.5;2.8;-4.06;Dropout;605;C;data latih;Tidak dipanggil
MHS0017;1;18;1;9238;1;1;137.0;1;19;38;5;8;137.4;1;0;0;1;0;0;18;0;0;6;10;1;12.0;0;0;6;14;2;11.0;0;10.8;1.4;1.74;Enrolled;578;D;mahasiswa aktif;Berjuang secara akademik
MHS0018;1;17;2;9500;1;1;135.0;1;19;1;5;4;127.3;1;0;0;1;0;0;18;0;0;7;8;7;13.30625;0;0;8;8;8;14.545;0;15.5;2.8;-4.06;Graduate;697;A;data latih;Tidak dipanggil
MHS0019;1;1;1;9130;1;1;137.0;1;3;19;3;5;136.3;1;0;0;1;0;0;20;0;0;5;8;4;12.5;1;0;5;8;4;12.25;2;10.8;1.4;1.74;Graduate;618;C;data uji;Tidak dipanggil
MHS0020;1;1;1;9853;1;1;140.0;1;19;19;7;7;124.6;1;0;0;1;0;0;18;0;0;7;7;6;11.666666666666666;0;0;7;8;6;13.5;0;16.2;0.3;-0.92;Enrolled;675;B;mahasiswa aktif;Tidak dipanggil
MHS0021;1;1;3;171;1;1;122.0;1;1;1;9;8;120.3;0;0;0;1;0;1;21;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;11.1;0.6;2.02;Graduate;587;D;data latih;Menghilang dari kelas
MHS0022;1;18;4;9556;1;1;127.0;1;1;38;4;7;121.8;1;0;0;1;0;0;20;0;0;7;14;7;11.4375;0;0;8;9;8;11.425;0;12.7;3.7;-1.7;Enrolled;631;C;mahasiswa aktif;Tidak dipanggil
MHS0023;1;1;4;9500;1;1;142.0;1;19;19;1;1;125.5;1;0;0;1;0;0;18;0;0;8;12;7;12.857142857142858;0;0;8;12;7;12.857142857142858;0;12.7;3.7;-1.7;Graduate;699;A;data latih;Tidak dipanggil
MHS0024;1;1;4;9670;1;1;125.0;1;1;38;4;7;114.9;1;0;0;1;0;1;19;0;0;6;8;6;13.375;0;0;6;7;6;12.285714285714286;0;11.1;0.6;2.02;Graduate;713;A;data uji;Tidak dipanggil
MHS0025;1;1;1;9500;1;1;126.0;1;19;19;3;7;123.9;0;0;0;1;0;0;19;0;0;7;8;6;13.296666666666669;0;0;8;9;7;14.114285714285714;0;11.1;0.6;2.02;Graduate;702;A;data latih;Tidak dipanggil
MHS0026;1;1;1;9238;1;1;151.0;1;19;38;9;9;157.0;1;0;1;1;0;1;18;0;0;6;8;5;11.6;0;0;6;12;4;11.0;0;7.6;2.6;0.32;Enrolled;608;C;mahasiswa aktif;Tidak dipanggil
MHS0027;1;17;2;9238;1;1;115.0;1;19;38;7;8;116.4;1;0;0;1;0;0;21;0;0;6;9;6;11.375;0;0;6;9;6;13.285714285714286;0;16.2;0.3;-0.92;Graduate;679;B;data latih;Tidak dipanggil
MHS0028;1;1;1;9085;1;1;138.0;1;19;19;3;3;131.0;1;0;0;1;0;0;18;0;0;5;9;5;12.666666666666666;2;0;5;7;4;13.0;0;9.4;-0.8;-3.12;Enrolled;638;C;mahasiswa aktif;Tidak dipanggil
MHS0029;1;1;1;9147;1;1;135.0;1;19;1;9;9;122.1;1;0;0;1;0;0;20;0;0;5;6;5;12.0;0;0;5;6;5;12.333333333333334;0;16.2;0.3;-0.92;Graduate;617;C;data latih;Tidak dipanggil
MHS0030;1;17;2;9500;1;1;127.0;1;3;3;1;10;118.8;1;0;0;1;1;0;19;0;0;7;9;6;12.933333333333332;0;0;7;7;6;13.716666666666669;0;16.2;0.3;-0.92;Enrolled;692;B;mahasiswa aktif;Tidak dipanggil
MHS0031;1;44;1;9003;1;39;150.0;1;4;5;4;2;150.0;0;0;0;1;1;0;21;0;0;6;15;5;11.857142857142858;0;0;6;17;5;10.571428571428571;0;16.2;0.3;-0.92;Enrolled;581;D;mahasiswa aktif;Berjuang secara akademik
MHS0032;1;51;1;9070;1;1;125.0;1;42;3;125;124;130.0;1;0;0;1;1;0;20;0;2;6;7;6;12.833333333333334;0;0;6;9;4;13.4;0;8.9;1.4;3.51;Graduate;646;C;data uji;Tidak dipanggil
MHS0033;1;1;1;9147;1;1;143.0;1;1;1;4;6;138.8;0;0;0;0;1;0;18;0;0;5;9;3;11.333333333333334;0;0;5;8;2;13.5;0;8.9;1.4;3.51;Enrolled;549;E;mahasiswa aktif;Terhalang biaya
MHS0034;1;18;1;8014;0;1;138.0;1;19;1;9;5;134.5;1;0;0;1;0;0;19;0;0;6;6;6;12.666666666666666;0;0;6;8;6;14.375;0;12.4;0.5;1.79;Graduate;685;B;data latih;Tidak dipanggil
MHS0035;1;1;1;9991;0;1;130.0;1;2;37;3;9;131.4;0;0;0;1;1;0;34;0;0;5;6;5;12.4;0;0;5;9;5;13.428571428571429;0;13.9;-0.3;0.79;Graduate;614;C;data latih;Tidak dipanggil
MHS0036;1;39;1;33;1;1;130.0;1;38;37;9;6;102.5;0;0;1;0;1;0;37;0;0;7;7;0;0.0;0;0;7;7;1;10.0;0;8.9;1.4;3.51;Dropout;420;E;data latih;Terhalang biaya
MHS0037;1;39;1;9119;1;10;133.1;1;34;37;0;0;128.8;1;0;0;1;1;0;43;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;7.6;2.6;0.32;Dropout;508;E;data uji;Menghilang dari kelas
MHS0038;1;43;1;9147;1;1;140.0;1;37;37;6;6;122.9;0;0;0;1;0;0;55;0;0;5;10;1;10.0;0;0;5;8;2;12.0;2;16.2;0.3;-0.92;Dropout;560;D;data latih;Berjuang secara akademik
MHS0039;4;39;1;9991;0;1;120.0;1;19;19;9;3;113.9;1;0;0;1;0;0;39;0;0;5;8;5;11.0;0;0;5;5;5;11.6;0;7.6;2.6;0.32;Graduate;553;D;data latih;Berjuang secara akademik
MHS0040;1;44;1;9130;1;39;120.0;6;4;4;3;6;120.0;0;0;1;0;0;0;20;1;2;6;13;3;11.666666666666666;0;1;6;11;3;12.0;0;12.4;0.5;1.79;Dropout;500;E;data latih;Terhalang biaya
MHS0041;1;1;5;9773;1;1;126.0;1;3;3;2;2;121.1;0;0;1;1;0;0;18;0;0;6;6;4;12.75;0;0;5;5;0;0.0;0;12.7;3.7;-1.7;Dropout;580;D;data uji;Berjuang secara akademik
MHS0042;1;1;2;9147;1;1;133.0;1;3;19;2;7;120.4;1;0;0;1;0;0;22;0;0;5;5;5;14.8;0;0;5;5;5;15.8;0;8.9;1.4;3.51;Graduate;630;C;data latih;Tidak dipanggil
MHS0043;1;1;6;9500;1;1;103.0;1;1;3;2;2;100.6;1;1;0;1;0;0;22;0;0;7;9;5;13.928;0;0;8;9;7;14.342857142857142;0;11.1;0.6;2.02;Graduate;677;B;data latih;Tidak dipanggil
